,Symbol,ReportType,FilingDate,Negative,Positive,Uncertainty,Litigious,Constraining,Superfluous,Interesting,Modal
0,AAPL,10-k,31/10/2012,598,208,637,258,244,22,6,62
1,AAPL,10-k,30/10/2013,652,179,644,276,250,24,6,63
2,AAPL,10-k,27/10/2014,661,184,659,294,259,25,6,76
3,AAPL,10-k,28/10/2015,647,189,659,289,256,28,6,61
4,AAPL,10-k,26/10/2016,628,174,654,286,247,25,6,71
5,AAPL,10-k,03/11/2017,643,183,674,285,253,32,6,79
6,AAPL,10-k,05/11/2018,653,182,637,291,246,34,6,68
7,AAPL,10-k,31/10/2019,618,124,508,251,240,15,6,52
8,AAPL,10-k,30/10/2020,646,121,523,236,253,13,7,55
9,AAPL,10-k,29/10/2021,652,127,435,244,241,11,6,46
10,AAPL,10-k,28/10/2022,639,114,436,233,233,9,5,49
11,ABBV,10-k,20/02/2015,846,337,732,524,323,21,6,113
12,ABBV,10-k,19/02/2016,859,346,777,521,344,32,5,118
13,ABBV,10-k,17/02/2017,869,343,841,501,329,31,3,117
14,ABBV,10-k,16/02/2018,870,327,808,487,337,35,3,114
15,ABBV,10-k,27/02/2019,862,312,803,521,309,32,4,110
16,ABBV,10-k,21/02/2020,867,318,801,537,305,29,4,121
17,ABBV,10-k,19/02/2021,977,371,900,603,332,32,4,125
18,ABBV,10-k,18/02/2022,951,399,848,577,332,31,4,122
19,ABBV,10-k,17/02/2023,971,409,851,565,337,27,3,124
20,ABT,10-k,17/02/2017,652,234,686,335,269,19,4,92
21,ABT,10-k,16/02/2018,652,241,668,329,301,32,6,84
22,ABT,10-k,22/02/2019,627,238,633,348,317,31,4,83
23,ABT,10-k,21/02/2020,614,222,614,353,292,31,4,78
24,ABT,10-k,19/02/2021,610,182,522,352,292,32,4,71
25,ABT,10-k,18/02/2022,666,194,559,380,296,43,5,72
26,ABT,10-k,17/02/2023,695,189,542,387,281,34,5,76
27,ACN,10-k,29/10/2019,878,394,766,600,307,20,9,69
28,ACN,10-k,22/10/2020,907,394,780,543,306,22,3,70
29,ACN,10-k,15/10/2021,911,443,792,536,300,23,3,75
30,ACN,10-k,12/10/2022,876,449,797,574,311,24,6,74
31,ADBE,10-k,20/01/2015,1031,594,837,420,278,50,10,112
32,ADBE,10-k,19/01/2016,1023,587,821,425,277,45,10,109
33,ADBE,10-k,20/01/2017,942,577,786,391,284,25,12,115
34,ADBE,10-k,22/01/2018,916,543,741,379,270,32,9,103
35,ADBE,10-k,25/01/2019,946,576,787,383,297,34,11,118
36,ADBE,10-k,21/01/2020,955,652,799,433,320,35,11,104
37,ADBE,10-k,15/01/2021,1044,684,851,447,325,32,13,89
38,ADBE,10-k,21/01/2022,919,613,785,409,290,26,9,79
39,ADBE,10-k,17/01/2023,902,584,750,423,278,22,10,71
40,AIG,10-k,15/02/2019,4695,920,3035,1707,918,222,18,224
41,AIG,10-k,21/02/2020,4627,986,3080,1763,900,215,19,247
42,AIG,10-k,19/02/2021,5102,1060,3447,1929,1010,199,36,254
43,AIG,10-k,17/02/2022,4797,1091,3510,1948,1048,197,23,277
44,AIG,10-k,17/02/2023,3878,895,2864,1526,826,161,18,204
45,AMD,10-k,18/02/2014,1102,387,762,457,476,48,1,143
46,AMD,10-k,19/02/2015,1243,373,808,481,501,48,4,116
47,AMD,10-k,18/02/2016,1389,362,847,549,498,57,4,161
48,AMD,10-k,21/02/2017,1434,382,854,656,477,64,3,173
49,AMD,10-k,27/02/2018,1615,373,849,787,475,61,1,183
50,AMD,10-k,08/02/2019,1503,356,795,665,433,37,1,148
51,AMD,10-k,04/02/2020,1238,317,755,536,348,40,1,130
52,AMD,10-k,29/01/2021,1253,383,859,464,352,32,2,143
53,AMD,10-k,03/02/2022,1248,344,845,467,344,31,3,129
54,AMD,10-k,27/02/2023,1163,347,988,404,345,47,6,132
55,AMGN,10-k,19/02/2015,1290,373,973,944,410,25,6,100
56,AMGN,10-k,16/02/2016,1218,376,949,947,412,23,6,90
57,AMGN,10-k,14/02/2017,1226,350,920,995,426,21,7,90
58,AMGN,10-k,13/02/2018,1359,402,925,1018,442,21,6,133
59,AMGN,10-k,13/02/2019,1418,383,935,1097,493,22,6,105
60,AMGN,10-k,12/02/2020,1623,395,996,1269,520,21,11,104
61,AMGN,10-k,13/02/2020,13,0,11,30,15,0,0,0
62,AMGN,10-k,09/02/2021,1774,500,1133,1301,523,27,14,132
63,AMGN,10-k,16/02/2022,1716,500,1183,1257,536,26,15,139
64,AMGN,10-k,09/02/2023,1692,486,1169,1178,530,20,15,117
65,AMT,10-k,26/02/2014,791,226,1196,393,615,65,8,168
66,AMT,10-k,24/02/2015,806,228,1208,391,651,62,8,172
67,AMT,10-k,26/02/2016,673,194,929,364,500,70,7,160
68,AMT,10-k,27/02/2017,661,204,897,389,476,74,7,148
69,AMT,10-k,28/02/2018,721,220,896,400,490,71,7,151
70,AMT,10-k,27/02/2019,765,239,907,466,538,63,8,142
71,AMT,10-k,25/02/2020,784,249,924,463,542,80,8,127
72,AMT,10-k,25/02/2021,853,260,986,445,574,74,8,146
73,AMT,10-k,25/02/2022,1018,283,1063,468,582,78,7,145
74,AMT,10-k,23/02/2023,995,295,1030,466,542,67,9,143
75,AMZN,10-k,30/01/2015,884,198,545,353,224,27,3,48
76,AMZN,10-k,29/01/2016,763,187,528,320,235,27,3,51
77,AMZN,10-k,10/02/2017,738,185,523,344,251,29,3,57
78,AMZN,10-k,02/02/2018,659,196,560,376,263,36,3,70
79,AMZN,10-k,01/02/2019,649,196,539,341,258,21,4,56
80,AMZN,10-k,31/01/2020,697,194,517,326,274,25,5,46
81,AMZN,10-k,03/02/2021,652,183,515,273,253,30,4,40
82,AMZN,10-k,04/02/2022,679,187,523,273,268,29,6,40
83,AMZN,10-k,03/02/2023,778,203,549,314,266,27,6,44
84,AVGO,10-k,21/12/2018,1449,295,1165,620,418,36,3,118
85,AVGO,10-k,20/12/2019,1304,318,1194,655,481,45,3,99
86,AVGO,10-k,18/12/2020,1314,302,1175,604,461,49,4,99
87,AVGO,10-k,17/12/2021,1213,303,1081,506,444,46,4,104
88,AVGO,10-k,16/12/2022,1190,315,1040,500,423,34,3,117
89,AXP,10-k,19/02/2016,1779,470,1515,1000,746,41,18,158
90,AXP,10-k,17/02/2017,1605,351,1371,866,650,34,18,127
91,AXP,10-k,16/02/2018,1593,347,1370,836,614,31,17,133
92,AXP,10-k,13/02/2019,1572,329,1345,806,614,33,18,119
93,AXP,10-k,13/02/2020,1508,299,1338,733,572,36,20,107
94,AXP,10-k,12/02/2021,1701,359,1348,776,598,39,20,120
95,AXP,10-k,11/02/2022,1689,357,1397,796,555,40,21,105
96,AXP,10-k,10/02/2023,1698,373,1401,817,565,39,20,97
97,BAC,10-k,22/02/2023,2600,355,2221,994,834,72,14,107
98,BA,10-k,08/02/2017,747,244,633,560,322,44,2,98
99,BA,10-k,10/02/2017,14,3,6,45,14,0,0,1
100,BA,10-k,12/02/2018,702,236,601,534,317,44,2,96
101,BA,10-k,08/02/2019,717,268,616,581,357,49,3,89
102,BA,10-k,31/01/2020,929,274,712,605,360,55,2,120
103,BA,10-k,01/02/2021,1271,326,867,643,432,57,2,158
104,BA,10-k,31/01/2022,1112,317,808,603,440,55,2,139
105,BA,10-k,27/01/2023,977,311,693,565,385,42,2,98
106,BKNG,10-k,25/02/2011,1246,348,977,768,304,43,6,171
107,BKNG,10-k,27/02/2012,1162,355,879,888,295,43,9,155
108,BKNG,10-k,27/02/2013,1358,379,1033,1144,281,42,15,136
109,BKNG,10-k,20/02/2014,1356,419,1144,1295,289,56,9,126
110,BKNG,10-k,19/02/2015,1279,404,1198,856,352,49,14,134
111,BKNG,10-k,17/02/2016,1195,427,1159,543,347,59,12,119
112,BKNG,10-k,27/02/2017,1143,429,1078,480,300,58,13,121
113,BKNG,10-k,27/02/2018,1155,466,1131,517,332,60,10,170
